Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
WY	Wang, Ying-ming	Wang	Ying-ming	WY	NA	2
WRA	Wasum, Ronaldo Adelfo	Wasum	Ronaldo Adelfo	WRA	NA	2
WEG	Waterlot, E. Georges	Waterlot	E. Georges	WEG	NA	1
WGL	Webster, Grady Linder	Webster	Grady Linder	WGL	NA	2
WEN	Wen	Wen	NA	WEN	NA	2
WTT	Wendt, Thomas (Tom) Leighton	Wendt	Thomas (Tom) Leighton	WTT	NA	2
AFW	Westerhaus, Andoni F.	Westerhaus	Andoni F.	AFW	NA	NA
WLJ	White, Lee J. T.	White	Lee J. T.	WLJ	NA	2
WC	Whitefoord, Caroline	Whitefoord	Caroline	WC	NA	2
WRG	Wieland, Ronald G.	Wieland	Ronald G.	WRG	NA	2
WJJ	Wieringa, Jan Johannes	Wieringa	Jan Johannes	WJJ	NA	2
WW	Wilbert, Werner	Wilbert	Werner	WW	NA	2
WRL	Wilbur, Robert Lynch	Wilbur	Robert Lynch	WRL	NA	2
NW	Wilding, Nicholas	Wilding	Nicholas	NW	NA	NA
WJR	Wiley, J. R.	Wiley	J. R.	WJR	NA	2
WILC	Wilks, Chris	Wilks	Chris	WILC	NA	2
WLO	Williams, Louis Otho (Otto)	Williams	Louis Otho (Otto)	WLO	NA	2
WRO	Williams, Robert Orchard	Williams	Robert Orchard	WRO	NA	2
WCL	Wilson, Charles L.	Wilson	Charles L.	WCL	NA	2
SW	Wohlhauser, Sébastien	Wohlhauser	Sébastien	SW	NA	NA
WRJ	Wood, John Richard Ironside	Wood	John Richard Ironside	WRJ	NA	2
WRH	Woodworth, Robert Hugo	Woodworth	Robert Hugo	WRH	NA	2
WRD	Worthington, Richard Dane	Worthington	Richard Dane	WRD	NA	2
WF	Woytkowski, Felix	Woytkowski	Felix	WF	NA	2
WCC	Wright, Charles (Carlos)	Wright	Charles (Carlos)	WCC	NA	2
WSK	Wu, Su Kung	Wu	Su Kung	WSK	NA	2
WRP	Wunderlin, Richard P.	Wunderlin	Richard P.	WRP	NA	2
WUJJ	Wurdack, John Julius	Wurdack	John Julius	WUJJ	NA	2
YM	Yánez, Manuel	Yánez	Manuel	YM	NA	2
YKR	Young, Kenneth R.	Young	Kenneth R.	YKR	NA	2
YTG	Yuncker, Truman George	Yuncker	Truman George	YTG	NA	2
ZV	Zak, Vlastimil	Zak	Vlastimil	ZV	NA	2
ZNA	Zamora Villalobos, Nelson Antonio	Zamora Villalobos	Nelson Antonio	ZNA	NA	2
ZS	Zamudio Ruíz, Sergio	Zamudio Ruíz	Sergio	ZS	NA	2
ZTA	Zanoni, Thomas A.	Zanoni	Thomas A.	ZTA	NA	2
ZEM	Zardini, Elsa Matilde	Zardini	Elsa Matilde	ZEM	NA	2
ZAR	Zarucchi, James Lee	Zarucchi	James Lee	ZAR	NA	1
ZL	Zelaya, Lorena	Zelaya	Lorena	ZL	NA	2
Z	Zent, Stanford	Zent	Stanford	Z	NA	2
ZN	ZICKEL, *	ZICKEL	NA	ZN	NA	2
ZNB	Zimba, Noah B.	Zimba	Noah B.	ZNB	NA	2
ZML	Zjhra, Michelle	Zjhra	Michelle L.	ZML	NA	NA
ZML	Zjhra, Michelle L.	Zjhra	Michelle L.	ZML	NA	1
ZHZOO	Zoo, Zurich	Zoo	Zurich	ZHZOO	NA	NA
ZJ	Zuleta, Jorge	Zuleta	Jorge	ZJ	NA	2
ZFO	Zuloaga, Fernando Omar	Zuloaga	Fernando Omar	ZFO	NA	2
ZRA	Zúñiga Villegas, Rodolfo Antonio	Zúñiga Villegas	Rodolfo Antonio	ZRA	NA	2
