Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment	Batch
SB	Buerki, Sven	Buerki	Sven	SB	NA	NA
BDG	Burch, Derek George	Burch	Derek George	BDG	NA	2
VDB	Burgt, Xander van der	Burgt	Xander van der	VDB	NA	1
BZ	Burivalova, Zuzana	Burivalova	Zuzana	BZ	NA	2
BRJ	Burnham, Robyn Jeanette	Burnham	Robyn Jeanette	BRJ	NA	2
BPC	Busey, Philip C.	Busey	Philip C.	BPC	NA	2
BWC	Busse, Walter Carl Otto	Busse	Walter Carl Otto	BWC	NA	2
RBU	Bussmann, Rainer	Bussmann	Rainer	RBU	NA	NA
BRW	Bussmann, Rainer W.	Bussmann	Rainer W.	BRW	NA	2
CJ	Caballero, *	Caballero	NA	CJ	NA	2
CJ	Caballero, Judit	Caballero	Judit	CJ	NA	2
CEF	Cabrera Cano, Edgar Francisco	Cabrera Cano	Edgar Francisco	CEF	NA	2
CWH	Cabrera Condarco, Willy Héctor	Cabrera Condarco	Willy Héctor	CWH	NA	2
CHG	Calatayud Hermosa, Gloria	Calatayud Hermosa	Gloria	CHG	NA	2
CJG	Calderón Vindell, Juan G.	Calderón Vindell	Juan G.	CJG	NA	2
CS	Calderón, Salvador	Calderón	Salvador	CS	NA	2
CPR	Callejas Posada, Ricardo	Callejas Posada	Ricardo	CPR	NA	2
MC	Callmander, Martin	Callmander	Martin Wilhelm	MC	NA	NA
MC	Callmander, Martin Wilhelm	Callmander	Martin Wilhelm	MC	NA	NA
CSJ	Calónico Soto, Jorge	Calónico Soto	Jorge	CSJ	NA	2
CJI	Calzada, Juan Ismael	Calzada	Juan Ismael	CJI	NA	2
CD	Campbell, David G.	Campbell	David G.	CD	NA	2
PC	Campenon, Pierre	Campenon	Pierre	PC	NA	1
CVV	Can, Vu Van	Can	Vu Van	CVV	NA	2
CCC	Cano Cano, Carolina del Rosario	Cano Cano	Carolina del Rosario	CCC	NA	1
CRP	Capuron, René Paul Raymond	Capuron	René Paul Raymond	CRP	NA	2
CJP	Carauta, Jorge Pedro Pereira	Carauta	Jorge Pedro Pereira	CJP	NA	2
CCG	Carballo Carvajal, Gerardo	Carballo Carvajal	Gerardo	CCG	NA	2
CRA	Carballo, Rubén Alonso	Carballo	Rubén Alonso	CRA	NA	2
CLD	Cárdenas López, Dairon	Cárdenas López	Dairon	CLD	NA	2
C	Carlson, B.	Carlson	B.	C	NA	2
CEB	Carlson, Elizabeth ("Betsy")	Carlson	Elizabeth ("Betsy")	CEB	NA	2
G	Carnevali, Germán	Carnevali	Germán	G	NA	2
CLG	Carrasquilla, Luis G.	Carrasquilla	Luis G.	CLG	NA	2
CARR	CARRASQUILLO, *	CARRASQUILLO	NA	CARR	NA	2
CL	Carrillo, Lorena	Carrillo	Lorena	CL	NA	2
CA	Carvalho, *	Carvalho	NA	CA	NA	2
CAM	Carvalho, André M. de	Carvalho	André M. de	CAM	NA	1
CA	Carvalho, André Maurício Vieira de	Carvalho	André Maurício Vieira de	CA	NA	2
CMF	Carvalho, Manuel Fidalgo de	Carvalho	Manuel Fidalgo de	CMF	NA	1
CJJ	Castillo Mont, Juan José	Castillo Mont	Juan José	CJJ	NA	2
CASA	Castillo, Andres	Castillo	Andres	CASA	NA	2
S	Castillo, Aníbal	Castillo	Aníbal	S	NA	2
CO	Castillo, O.	Castillo	O.	CO	NA	2
CTN	Castro T., Nayda	Castro T.	Nayda	CTN	NA	2
CM	Castro, Margarita	Castro	Margarita	CM	NA	2
CBS	Castroviejo Bolíbar, Santiago	Castroviejo Bolíbar	Santiago	CBS	NA	2
CLE	Cayola Pérez, Leslie Eugenia	Cayola Pérez	Leslie Eugenia	CLE	NA	2
CAZG	Cazali, Gina	Cazali	Gina	CAZG	NA	2
CTR	Cedillo Trigos, Refugio	Cedillo Trigos	Refugio	CTR	NA	2
CLJ	Cerén Lopez, José Gabriel	Cerén Lopez	José Gabriel	CLJ	NA	2
CCE	Cerón Martínez, Carlos Eduardo	Cerón Martínez	Carlos Eduardo	CCE	NA	2
CAC	Cervi, Armando Carlos	Cervi	Armando Carlos	CAC	NA	2
CVC	Chan V., C.	Chan V.	C.	CVC	NA	2
CLA	Chapelier, Louis Armand	Chapelier	Louis Armand	CLA	NA	1
CJD	Chapman, J. D.	Chapman	J. D.	CJD	NA	2
CDP	Charles-Dominique, Pierre	Charles-Dominique	Pierre	CDP	NA	1
MN	Chase, Mary  (née Merrill) Agnes	Chase	Mary  (née Merrill) Agnes	MN	NA	2
FC	Chauvet, Françoise	Chauvet	Françoise	FC	NA	1
CHAV	Chavarría	Chavarría	NA	CHAV	NA	2
CRU	Chavarría García, Ramón Ulises Gerardo	Chavarría García	Ramón Ulises Gerardo	CRU	NA	2
CMR	Cheek, Martin Roy	Cheek	Martin Roy	CMR	NA	1
CHIS	Chidzinga, S.	Chidzinga	S.	CHIS	NA	2
CHOJ	Choo, Johanna	Choo	Johanna	CHOJ	NA	2
CAD	Choque Ajata, Daniel	Choque Ajata	Daniel	CAD	NA	1
CC	Christian, Claude	Christian	Claude	CC	NA	1
CNK	Chun, N. K.	Chun	N. K.	CNK	NA	1
CH	Churchill, Hugh Waldemar	Churchill	Hugh Waldemar	CH	NA	2
CHUS	Chuwa, Sebastian	Chuwa	Sebastian	CHUS	NA	2
CCA	Cid Ferreira, Carlos Alberto	Cid Ferreira	Carlos Alberto	CCA	NA	2
CHL	Clark, Howard L.	Clark	Howard L.	CHL	NA	2
CJL	Clark, John Littner	Clark	John Littner	CJL	NA	2
CCL	Claude, Christian	Claude	Christian	CCL	NA	NA
CAF	Clewell, Andre Francis	Clewell	Andre Francis	CAF	NA	2
JC	Cloisel, J.	Cloisel	J.	JC	NA	1
CFG	Coe, Felix G.	Coe	Felix G.	CFG	NA	2
CDJ	Coêlho, José de Parva	Coêlho	José de Parva	CDJ	NA	2
COEL	Coelho, L.	Coelho	L.	COEL	NA	2
CFL	Coêlho, Luiz Fernandez	Coêlho	Luiz Fernandez	CFL	NA	2
CMA	Coelho, Marcus Alberto Nadruz	Coelho	Marcus Alberto Nadruz	CMA	NA	2
CPA	Cogollo Pacheco, Álvaro	Cogollo Pacheco	Álvaro	CPA	NA	2
UNKN	Collector Unknown, *	Unknown	Unknown	UNKN	NA	1
COLG	Colonnello, Giuseppe	Colonnello	Giuseppe	COLG	NA	2
COMR	Combs, Robert	Combs	Robert	COMR	NA	2
CP	Commerson, Philibert	Commerson	Philibert	CP	NA	2
CE	Contreras, Elias	Contreras	Elias	CE	NA	2
CMM	Cornejo Mejia, Maritza	Cornejo Mejia	Maritza	CMM	NA	2
CXF	Cornejo Sotomayor, Xavier Francisco	Cornejo Sotomayor	Xavier Francisco	CXF	NA	2
CTG	Cornejo Tenorio, Guadalupe	Cornejo Tenorio	Guadalupe	CTG	NA	2
CIM	Coronado González, Indiana M.	Coronado González	Indiana M.	CIM	NA	2
CMD	Correa A., Mireya D.	Correa A.	Mireya D.	CMD	NA	2
CDG	Cours-Darne, Gilbert	Cours-Darne	Gilbert	CDG	NA	1
CCP	Cowan, Clark P.	Cowan	Clark P.	CCP	NA	2
SC	Crameri, Simon	Crameri	Simon Flavio	SC	NA	NA
SC	Crameri, Simon Flavio	Crameri	Simon Flavio	SC	NA	NA
CCJ	Crane, Cathy J.	Crane	Cathy J.	CCJ	NA	2
CF	Crawford, F.	Crawford	F.	CF	NA	1
CGA	Cremers, Georges Alexis	Cremers	Georges Alexis	CGA	NA	2
CTB	Croat, Thomas Bernard	Croat	Thomas Bernard	CTB	NA	1
LJ	Cumana Campos, Luis José	Cumana Campos	Luis José	LJ	NA	2
H	Cuming, Hugh	Cuming	Hugh	H	NA	2
CHM	Curran, Hugh McCullum	Curran	Hugh McCullum	CHM	NA	2
CFA	Custodio Filho, Alcebiades	Custodio Filho	Alcebiades	CFA	NA	2
DWG	D'Arcy, William Gerald	D'Arcy	William Gerald	DWG	NA	2
DCG	Dahlberg, Carl Gustav	Dahlberg	Carl Gustav	DCG	NA	2
DN	DALE, *	DALE	NA	DN	NA	2
DDC	Daly, Douglas	Daly	Douglas	DDC	NA	NA
DDC	Daly, Douglas Charles de Burgh	Daly	Douglas Charles de Burgh	DDC	NA	2
DTF	Daniel, Thomas Franklin	Daniel	Thomas Franklin	DTF	NA	1
DPS	Daniels, Patrick S.	Daniels	Patrick S.	DPS	NA	1
DSP	Darwin, Steven P.	Darwin	Steven P.	DSP	NA	2
DG	Dauby, Gilles	Dauby	Gilles	DG	NA	2
DAVG	Davidse, Gerrit	Davidse	Gerrit	DAVG	NA	2
DC	Davidson, Christopher	Davidson	Christopher	DC	NA	2
DAP	Davis, Aaron Paul	Davis	Aaron Paul	DAP	NA	1
DWA	Dayton, William Adams	Dayton	William Adams	DWA	NA	2
DBP	De Block, Petra	De Block	Petra	DBP	NA	NA
DJS	de la Cruz, J. S.	de la Cruz	J. S.	DJS	NA	2
DD	De la Quintana, Diego	De la Quintana	Diego	DD	NA	2
DENE	de Néré	de Néré	NA	DENE	NA	2
DJJ	de Wilde, Jan Jacobus Friedrich Egmond	de Wilde	Jan Jacobus Friedrich Egmond	DJJ	NA	2
DMM	Debray,	Debray	Marcel M.	DMM	NA	4
DMM	DEBRAY, *	Debray	Marcel M.	DMM	NA	1
DMM	Debray, Marcel M.	Debray	Marcel M.	DMM	NA	2
DR	Decary, Raymond	Decary	Raymond	DR	NA	1
DS	Defler, Sara	Defler	Sara	DS	NA	2
DEGR	Degen, Rosa	Degen	Rosa	DEGR	NA	2
DNB	Deginani, Norma B.	Deginani	Norma B.	DNB	NA	2
DF	Delascio Chitty, Francisco	Delascio Chitty	Francisco	DF	NA	2
DL	Delgado, Luz	Delgado	Luz	DL	NA	2
DELC	Delnatte, Cesar	Delnatte	Cesar	DELC	NA	2
DJ	Déquaire, Jean-Maurice	Déquaire	Jean-Maurice	DJ	NA	2
T	Deroin, Thierry	Deroin	Thierry	T	NA	2
DBM	Descoings, Bernard M.	Descoings	Bernard M.	DBM	NA	1
DMB	Descoings, Bernard Marie	Descoings	Bernard Marie	DMB	NA	2
DESS	Dessein, Steven	Dessein	Steven	DESS	NA	2
DSJ	DeWalt, Sarah J.	DeWalt	Sarah J.	DSJ	NA	2
DSC	Díaz Santibáñez, Camilo	Díaz Santibáñez	Camilo	DSC	NA	2
DAL	Díaz Z., Ana L.	Díaz Z.	Ana L.	DAL	NA	2
DIAZ	Diaz, *	Diaz	NA	DIAZ	NA	2
DW	Díaz, Wilmer A.	Díaz	Wilmer A.	DW	NA	2
JJ	Dibata, J. J.	Dibata	J. J.	JJ	NA	2
DIEL	Dieckman, Leonard	Dieckman	Leonard	DIEL	NA	2
DA	Dik, Alberto	Dik	Alberto	DA	NA	2
DINA	Dinard, André	Dinard	André	DINA	NA	2
DIOF	Dionizia, F.	Dionizia	F.	DIOF	NA	2
DM	do Céu Madureira, Maria	do Céu Madureira	Maria	DM	NA	2
DCW	Dodge, Carroll William	Dodge	Carroll William	DCW	NA	2
DCH	Dodson, Calaway Homer	Dodson	Calaway Homer	DCH	NA	2
DOK	DOKOBE, *	Dokobe	Dokobe	DOK	NA	1
DOK	Dokobe	Dokobe	Dokobe	DOK	NA	NA
DPF	Domínguez Peña, Feliz	Domínguez Peña	Feliz	DPF	NA	2
DONC	Donis, C.	Donis	C.	DONC	NA	2
DOLJ	Dorantes López, Jesús	Dorantes López	Jesús	DOLJ	NA	2
DLJ	Dorr, Laurence Joseph	Dorr	Laurence Joseph	DLJ	NA	1
DOUC	Doumenge, Charles	Doumenge	Charles	DOUC	NA	2
DRAK	DRAKE, *	DRAKE	NA	DRAK	NA	2
DJF	Drège, Jean François (Johann Franz)	Drège	Jean François (Johann Franz)	DJF	NA	2
DRL	Dressler, Robert Louis	Dressler	Robert Louis	DRL	NA	2
DRB	Drummond, Robert Bailey	Drummond	Robert Bailey	DRB	NA	2
DPB	Du Puy, Blaise P.	Du Puy	Blaise P.	DPB	NA	2
PUY	Du Puy, David J.	Du Puy	David Jean	PUY	NA	1
PUY	Du Puy, David Jean	Du Puy	David Jean	PUY	NA	1
DPA	Duarte, Apparicio Pereira	Duarte	Apparicio Pereira	DPA	NA	2
DEP	Duchassaing de Fontbressin, Édouard Placide	Duchassaing de Fontbressin	Édouard Placide	DEP	NA	2
DAW	Ducke, Walter Adolpho	Ducke	Walter Adolpho	DAW	NA	2
DJA	Duke, James Alan	Duke	James Alan	DJA	NA	2
ND	Dumetz, Nicolas	Dumetz	Nicolas	ND	NA	1
DDR	Duno de Stefano, Rodrigo	Duno de Stefano	Rodrigo	DDR	NA	2
