Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment
DLJ	Dorr, Laurence Joseph	Dorr	Laurence Joseph	DLJ	NA
DM	do Céu Madureira, Maria	do Céu Madureira	Maria	DM	NA
DMM	Debray,	Debray	Marcel M.	DMM	NA
DMM	DEBRAY, *	Debray	Marcel M.	DMM	NA
DMM	Debray, Marcel M.	Debray	Marcel M.	DMM	NA
DN	DALE, *	Dale	NA	DN	NA
DNB	Deginani, Norma B.	Deginani	Norma B.	DNB	NA
DOK	DOKOBE, *	Dokobe	Dokobe	DOK	NA
DOK	Dokobe	Dokobe	Dokobe	DOK	NA
DOLJ	Dorantes López, Jesús	Dorantes López	Jesús	DOLJ	NA
DONC	Donis, C.	Donis	C.	DONC	NA
DOUC	Doumenge, Charles	Doumenge	Charles	DOUC	NA
DPA	Duarte, Apparicio Pereira	Duarte	Apparicio Pereira	DPA	NA
DPB	Du Puy, Blaise P.	Du Puy	Blaise P.	DPB	NA
DPF	Domínguez Peña, Feliz	Domínguez Peña	Feliz	DPF	NA
DPK	Dusén, Per Karl Hjalmar	Dusén	Per Karl Hjalmar	DPK	NA
DPS	Daniels, Patrick S.	Daniels	Patrick S.	DPS	NA
DR	Decary, Raymond	Decary	Raymond	DR	NA
DRAK	DRAKE, *	Drake	NA	DRAK	NA
DRB	Drummond, Robert Bailey	Drummond	Robert Bailey	DRB	NA
DRD	Andriamiarimanana, Donatien	Andriamiarimanana	Donatien	DRD	NA
DRL	Dressler, Robert Louis	Dressler	Robert Louis	DRL	NA
DS	Defler, Sara	Defler	Sara	DS	NA
DSC	Díaz Santibáñez, Camilo	Díaz Santibáñez	Camilo	DSC	NA
DSJ	DeWalt, Sarah J.	DeWalt	Sarah J.	DSJ	NA
DSP	Darwin, Steven P.	Darwin	Steven P.	DSP	NA
DT	Turk, Dan	Turk	Dan	DT	NA
DTF	Daniel, Thomas Franklin	Daniel	Thomas Franklin	DTF	NA
DW	Díaz, Wilmer A.	Díaz	Wilmer A.	DW	NA
DWA	Dayton, William Adams	Dayton	William Adams	DWA	NA
DWG	D'Arcy, William Gerald	D'Arcy	William Gerald	DWG	NA
E	Bidault, Ehoarn	Bidault	Ehoarn	E	NA
EAD	Elmer, Adolph Daniel Edward	Elmer	Adolph Daniel Edward	EAD	NA
EAG	Estrada Chavarría, Armando Gerardo	Estrada Chavarría	Armando Gerardo	EAG	NA
ECE	Ewango, Corneille E. N.	Ewango	Corneille E. N.	ECE	NA
ECM	Evrard, Charles Marie	Evrard	Charles Marie	ECM	NA
EEL	Ekman, Erik Leonard	Ekman	Erik Leonard	EEL	NA
EF	Eneme, F.	Eneme	F.	EF	NA
EG	Eiten, George	Eiten	George	EG	NA
EJ	Espina Z., Josefina	Espina Z.	Josefina	EJ	NA
EJA	Espinosa-Jiménez, Josefa Anahí	Espinosa-Jiménez	Josefa Anahí	EJA	NA
EM	Espinal, Mario	Espinal	Mario	EM	NA
EME	Emeline	Emeline	Emeline	EME	NA
EN	Etkin, N.	Etkin	N.	EN	NA
EP	Ezrom, P.	Ezrom	P.	EP	NA
ERE	Espinoza Obando, Roberto Enrique	Espinoza Obando	Roberto Enrique	ERE	NA
EREP	Pereira, Edmundo	Pereira	Edmundo	EREP	NA
ERR	Evans, Randall (Randy) Joe	Evans	Randall (Randy) Joe	ERR	NA
ES	Eboroke, Sylvain	Eboroke	Sylvain	ES	NA
ES	Eboroke, Sylvin	Eboroke	Sylvain	ES	NA
ET	Thouvenot, E.	Thouvenot	E.	ET	NA
ETAM	Matuda, Eizi	Matuda	Eizi	ETAM	NA
ETUM	Etuge, Martin	Etuge	Martin	ETUM	NA
EWA	Egler, Walter Alberto	Egler	Walter Alberto	EWA	NA
EWJ	Eggeling, William Julius	Eggeling	William Julius	EWJ	NA
F	Almeda, Frank, Jr.	Almeda	Frank	F	NA
FA	Fernández, Ángel	Fernández	Ángel	FA	NA
FAF	Fuentes Claros, Alfredo Fernando	Fuentes Claros	Alfredo Fernando	FAF	NA
FAR	Rajaonary, Fano A.	Rajaonary	Fano A.	FAR	NA
