Code	SeniorCollector	SeniorCollector_nom	SeniorCollector_prenom	Code2	Comment
RNR	Rabesandratana, Rachel N.	Rabesandratana	Rachel N.	RNR	NA
RNT	Ranaivoson, N. T.	Ranaivoson	N. T.	RNT	NA
RO	Omlor, Ralf	Omlor	Ralf	RO	NA
ROC	Randriambololomamonjy, Ornella C.	Randriambololomamonjy	Ornella Christine	ROC	NA
ROC	Randriambololomamonjy, Ornella Christine	Randriambololomamonjy	Ornella Christine	ROC	NA
ROCH	Rocha, *	Rocha	NA	ROCH	NA
ROCR	Romero Castañeda, Rafael	Romero Castañeda	Rafael	ROCR	NA
RODA	RODAL, *	RODAL	NA	RODA	NA
RODR	RODRÍGUEZ, *	RODRÍGUEZ	NA	RODR	NA
ROGA	Romero-González, Gustavo Adolfo	Romero-González	Gustavo Adolfo	ROGA	NA
ROH	Razafindratsima, Onja H.	Razafindratsima	Onja H.	ROH	NA
ROJM	Rosales, José Manuel	Rosales	José Manuel	ROJM	NA
ROJT	Rojas, Teodoro	Rojas	Teodoro	ROJT	NA
ROL	Rakotondrajaona, Roland	Rakotondrajaona	Roland	ROL	NA
ROM	Rabarijaona, Narindra Romer	Rabarijaona	Narindra Romer	ROM	NA
ROM	Rabarijaona, Romer	Rabarijaona	Narindra Romer	ROM	NA
RON	Rafanomezantsoa, Odoris Norlin	Rafanomezantsoa	Odoris Norlin	RON	NA
ROR	Ranaivojaona, Rolland	Ranaivojaona	Rolland	ROR	NA
ROS	Ribas, Osmar dos Santos	Ribas	Osmar dos Santos	ROS	NA
ROSJ	Rosales, Judith	Rosales	Judith	ROSJ	NA
ROZ	Randimbison, Maherizo	Randimbison	Maherizo	ROZ	NA
RP	Rakotonirina, Paul	Rakotonirina	Paul	RP	NA
RPJ	Randria, Paul Joseph	Randria	Paul Joseph	RPJ	NA
RPK	Rwaburindore, Protase Kasenene	Rwaburindore	Protase Kasenene	RPK	NA
RPR	Reitz, Pe. Raulino	Reitz	Pe. Raulino	RPR	NA
RR	Rakoto, Raphael	Rakoto	Raphael	RR	NA
RRA	Rajoharison, R.	Rajoharison	Rivo	RRA	NA
RRA	Rajoharison, Rivo	Rajoharison	Rivo	RRA	NA
RRD	Robles González, Rafael de Jesús Ramón	Robles González	Rafael de Jesús Ramón	RRD	NA
RRE	Randriamarosoa, Rémi	Randriamarosoa	Rémi	RRE	NA
RRG	Ramison, Roger Georgensen	Ramison	Roger Georgensen	RRG	NA
RRH	Ramananjanahary, Rondro	Ramananjanahary	Rondro Hanitrinitiana	RRH	NA
RRH	Ramananjanahary, Rondro Hanitrinitiana	Ramananjanahary	Rondro Hanitrinitiana	RRH	NA
RRI	Rajemisa, Richard	Rajemisa	Richard	RRI	NA
RRM	Rueda, Ricardo M.	Rueda	Ricardo M.	RRM	NA
RRN	Ramanantsialonina, Ravo Nantenaina	Ramanantsialonina	Ravo Nantenaina	RRN	NA
RS	Rapanarivo, Solo	Rapanarivo	Solo Hery J.V.	RS	NA
RS	Rapanarivo, Solo H.	Rapanarivo	Solo Hery J.V.	RS	NA
RS	Rapanarivo, Solo Hery J.V.	Rapanarivo	Solo Hery J.V.	RS	NA
RSA	Renvoize, Stephen Andrew	Renvoize	Stephen Andrew	RSA	NA
RSC	Rosário, Carlos Silva	Rosário	Carlos Silva	RSC	NA
RSD	Ramandimbimanana, S. D.	Ramandimbimanana	S. D.	RSD	NA
RSE	Rakotoarisoa, Eric Solofo	Rakotoarisoa	Solofo Eric	RSE	NA
RSE	Rakotoarisoa, Solofo Eric	Rakotoarisoa	Solofo Eric	RSE	NA
RT	Ranarivelo, Tianjanahary	Ranarivelo	Tianjanahary	RT	NA
RTF	Raveloson, Tolojanahary Felantsoa	Raveloson	Tolojanahary Felantsoa	RTF	NA
RTH	Rakouth, Hasina Nomentsoa	Rakouth	Hasina Nomentsoa	RTH	NA
RTN	Randriamiharisoa, Tolojanahary Nirina M.	Randriamiharisoa	Tolojanahary Nirina Maria	RTN	NA
RTN	Randriamiharisoa, Tolojanahary Nirina Maria	Randriamiharisoa	Tolojanahary Nirina Maria	RTN	NA
RTP	Ramamoorthy, Thennilapuram Parasuraman	Ramamoorthy	Thennilapuram Parasuraman	RTP	NA
RTV	Rivoharison, Tahiry Victoria	Rivoharison	Tahiry Victoria	RTV	NA
RUBH	Rubio, Hiram	Rubio	Hiram	RUBH	NA
RV	Raharimalala, V.	Raharimalala	V.	RV	NA
RVF	Ravelonahina, Harimisa	Ravelonahina	Harimisa	RVF	NA
RVH	Ramírez Villalobos, Víctor Hugo	Ramírez Villalobos	Víctor Hugo	RVH	NA
RVL	Rajaovelona, Landy	Rajaovelona	Landy	RVL	NA
RVM	Rasolofoniaina, Vonimirana Mbolatiana	Rasolofoniaina	Vonimirana Mbolatiana	RVM	NA
RVN	Ravololomanana, Noromalala	Ravololomanana	Noromalala	RVN	NA
RVO	Andrianasolo, Rivoniony	Andrianasolo	Rivoniony	RVO	NA
RVT	Razafindrahaja, Vololotahina	Razafindrahaja	Vololotahina	RVT	NA
RWA	Rodrigues, William Antônio	Rodrigues	William Antônio	RWA	NA
RYM	Rimachi Y., Manuel	Rimachi Y.	Manuel	RYM	NA
RZ	Rulangaranga, Z. K.	Rulangaranga	Z. K.	RZ	NA
RZA	Razanatsima, Aina	Razanatsima	Aina	RZA	NA
RZC	Rakotonirina, Casmir	Rakotonirina	Casmir Zoly	RZC	NA
RZC	Rakotonirina, Casmir Zoly	Rakotonirina	Casmir Zoly	RZC	NA
RZD	Razafindramora, Dernah	Razafindramora	Dernah	RZD	NA
RZEJ	Rzedowski, Jerzy	Rzedowski	Jerzy	RZEJ	NA
RZK	Razakamalala, Richard	Razakamalala	Richardson	RZK	NA
RZK	Razakamalala, Richardson	Razakamalala	Richardson	RZK	NA
S	Castillo, Aníbal	Castillo	Aníbal	S	NA
SA	Sallu, Albert Ntemi	Sallu	Albert Ntemi	SA	NA
SAC	Sanders, Andrew C.	Sanders	Andrew C.	SAC	NA
SACM	Sachs Museum	Sachs Museum	NA	SACM	NA
SAF	Andrianarivelo, Sandratra Aina Fanantenana	Andrianarivelo	Sandratra Aina Fanantenana	SAF	NA
SAJ	Silva, J. A.	Silva	J. A.	SAJ	NA
SALJ	Salick, Jan	Salick	Jan	SALJ	NA
SALP	Salzmann, Philipp	Salzmann	Philipp	SALP	NA
SAN	Sandratriniaina, Andrianasolo Ninah	Sandratriniaina	Andrianasolo Ninah	SAN	NA
SAN	Sandratriniaina, Ninah	Sandratriniaina	Andrianasolo Ninah	SAN	NA
SANM	Sánchez, M.	Sánchez	M.	SANM	NA
SAS	Silva, A. S.	Silva	A. S.	SAS	NA
SB	Buerki, Sven	Buerki	Sven	SB	NA
SBD	Schrire, Brian David	Schrire	Brian David	SBD	NA
SBE	Exp., Sino-British	Sino-British Expedition	Sino-British Expedition	SBE	NA
SBF	Federman, Sarah Beck	Federman	Sarah Beck	SBF	NA
SC	Crameri, Simon	Crameri	Simon Flavio	SC	NA
SC	Crameri, Simon Flavio	Crameri	Simon Flavio	SC	NA
SCA	Schinini Cacace, Aurelio	Schinini Cacace	Aurelio	SCA	NA
SCE	Solano Camacho, Eloy	Solano Camacho	Eloy	SCE	NA
SCH	S.C., Hiremath,	Hiremath	S. C.	SCH	NA
SCJ	Saldanha, Cecil John	Saldanha	Cecil John	SCJ	NA
SCW	Steward, William C.	Steward	William C.	SCW	NA
SD	Soza, Danilo	Soza	Danilo	SD	NA
SDA	Sánchez S., Darío A.	Sánchez S.	Darío A.	SDA	NA
SDB	SUCRE, *	Sucre	Benjamin Dimitri	SDB	NA
SDB	Sucre, Benjamin Dimitri	Sucre	Benjamin Dimitri	SDB	NA
SDD	Spellman, David (Dave) Leonard	Spellman	David (Dave) Leonard	SDD	NA
SDE	Starry, D. E.	Starry	D. E.	SDE	NA
SDF	Solano Peralta, Daniel Francisco	Solano Peralta	Daniel Francisco	SDF	NA
SDN	Smith, David Nelson	Smith	David Nelson	SDN	NA
SDS	Seigler, David Standley	Seigler	David Standley	SDS	NA
SDW	Stevenson, Dennis William	Stevenson	Dennis William	SDW	NA
SE	Sanoja, Elio	Sanoja	Elio	SE	NA
SEA	Sandoval, Eliberto A.	Sandoval	Eliberto A.	SEA	NA
SED	Stone, Donald Eugene	Stone	Donald Eugene	SED	NA
SEIR	Seidel, Renate	Seidel	Renate	SEIR	NA
SEL	Sette Silva, Edeleusa L.	Sette Silva	Edeleusa L.	SEL	NA
SELF	Sellow, Friedrich	Sellow	Friedrich	SELF	NA
SERA	Sermeño, A.	Sermeño	A.	SERA	NA
SEWB	Sewall, Brent	Sewall	Brent	SEWB	NA
SF	Service forestier [collection series]	Service Forestier Madagascar	Service Forestier Madagascar	SF	NA
SF	Service Forestier de Madagascar	Service Forestier Madagascar	Service Forestier Madagascar	SF	NA
SF	Service Forestier de Madagascar (Capuron)	Service Forestier Madagascar (Capuron)	Service Forestier Madagascar (Capuron)	SF	NA
SF	Service Forestier Madagascar	Service Forestier Madagascar	Service Forestier Madagascar	SF	NA
SF	Service Forestier Madagascar (Capuron)	Service Forestier Madagascar (Capuron)	Service Forestier Madagascar (Capuron)	SF	NA
SF	Service Forestier Madagascar (Kiener)	Service Forestier Madagascar (Kiener)	Service Forestier Madagascar (Kiener)	SF	NA
SF	SERVICE FORESTIER, *	Service Forestier Madagascar	Service Forestier Madagascar	SF	NA
SF	Service Forestier, Kiener	Service Forestier Madagascar (Kiener)	Service Forestier Madagascar (Kiener)	SF	NA
SFA	Skutch, Alexander Frank	Skutch	Alexander Frank	SFA	NA
SFC	Seymour, Frank Conkling	Seymour	Frank Conkling	SFC	NA
SFH	Sargent, Francis Hahn	Sargent	Francis Hahn	SFH	NA
SFR	Andrianarivelo, Soafara	Andrianarivelo	Soafara Niaina	SFR	NA
SFR	Andrianarivelo, Soafara Niaina	Andrianarivelo	Soafara Niaina	SFR	NA
SFW	Sieber, Franz(e) Wilhelm	Sieber	Franz(e) Wilhelm	SFW	NA
SG	Razafimandimbison, Sylvain Georges	Razafimandimbison	Sylvain Georges	SG	NA
SGA	Sullivan, Gene A.	Sullivan	Gene A.	SGA	NA
SGD	Santos, G. dos	Santos	G. dos	SGD	NA
SGF	Scott Elliot, George Francis	Scott Elliot	George Francis	SGF	NA
SGJ	Steinbach G., José	Steinbach G.	José	SGJ	NA
SGL	Sobel, Gail L.	Sobel	Gail L.	SGL	NA
SGM	Sangu, G. M.	Sangu	G. M.	SGM	NA
SGP	Schultz, G. P.	Schultz	G. P.	SGP	NA
SH	Hassold, Sonja	Hassold	Sonja	SH	HS
SHE	Schlieben, Hans-Joachim Eberhard	Schlieben	Hans-Joachim Eberhard	SHE	NA
SHH	Schmidt, Heidi Helga	Schmidt	Heidi Helga	SHH	NA
SIEA	Sieder, Anton	Sieder	Anton	SIEA	NA
SILV	Silva, *	Silva	NA	SILV	NA
SIMB	Simmen, B.	Simmen	B.	SIMB	NA
SIMP	Simá, Paulino	Simá	Paulino	SIMP	NA
SJ	Solo, Justin	Solo	Justin	SJ	NA
SJA	Shafer, John Adolph	Shafer	John Adolph	SJA	NA
SJC	Sandino, Juan Carlos	Sandino	Juan Carlos	SJC	NA
SJD	Snowden, Joseph Davenport	Snowden	Joseph Davenport	SJD	NA
SJG	Saunders, Janice G.	Saunders	Janice G.	SJG	NA
SJM	Silva, J. M.	Silva	J. M.	SJM	NA
SJR	Stone, John Richard	Stone	John Richard	SJR	NA
SJS	Strijk, J. S.	Strijk	J. S.	SJS	NA
SL	Sánchez Acebo, Lupita	Sánchez Acebo	Lupita	SL	NA
SLB	Smith, Lyman Bradford	Smith	Lyman Bradford	SLB	NA
SLC	Stutz de Ortega, Lilian C.	Stutz de Ortega	Lilian C.	SLC	NA
SM	Malcomber, Simon	Malcomber	Simon T.	SM	NA
SM	Malcomber, Simon T.	Malcomber	Simon T.	SM	NA
SMA	Sinaca Colín, Miguel Angel	Sinaca Colín	Miguel Angel	SMA	NA
SMAC	Smith, Albert Charles	Smith	Albert Charles	SMAC	NA
SME	Suclli Montañés, Efraín	Suclli Montañés	Efraín	SME	NA
SMF	Silva, Manoela F. F. da	Silva	Manoela F. F. da	SMF	NA
SMHH	Smith, Herbert Huntingdon	Smith	Herbert Huntingdon	SMHH	NA
SMJ	Solís Magallanes, J. Arturo	Solís Magallanes	J. Arturo	SMJ	NA
SMN	Sainge, Moses Nsanyi	Sainge	Moses Nsanyi	SMN	NA
SN	SAJY, *	SAJY	NA	SN	NA
SNGF	Silo National des Graines Forestières	Silo National des Graines Forestières	Silo National des Graines Forestières	SNGF	NA
SNGF	SNGF	Silo National des Graines Forestières	Silo National des Graines Forestières	SNGF	NA
SNJ	Soto Núñez, José Carmen	Soto Núñez	José Carmen	SNJ	NA
SNS	Stevenson, Neil S.	Stevenson	Neil S.	SNS	NA
SNT	Silva, Nilo T.	Silva	Nilo T.	SNT	NA
SOAN	SOANARY, *	SOANARY	NA	SOAN	NA
SOBR	SOBRINHO, *	SOBRINHO	NA	SOBR	NA
SOD	Silveira Mello, Octavio da	Silveira Mello	Octavio da	SOD	NA
SOE	Shattuck, Otis E.	Shattuck	Otis E.	SOE	NA
SOLJ	Solomon, James	Solomon	James	SOLJ	NA
SONB	Sonké, Bonaventure	Sonké	Bonaventure	SONB	NA
SOTA	Soto, Ademar	Soto	Ademar	SOTA	NA
SP	Saboureau, P.	Saboureau	P.	SP	NA
SPC	Standley, Paul Carpenter	Standley	Paul Carpenter	SPC	NA
SPE	Sintenis, Paul Ernst Emil	Sintenis	Paul Ernst Emil	SPE	NA
SPG	SHCP, general project collector	SHCP	general project collector	SPG	NA
SPM	Saldias Paz, Mario	Saldias Paz	Mario	SPM	NA
SPR	Stevenson Diaz, Pablo Roberto	Stevenson Diaz	Pablo Roberto	SPR	NA
SPRR	Spruce, Richard	Spruce	Richard	SPRR	NA
SPT	Sano, Paulo Takeo	Sano	Paulo Takeo	SPT	NA
SPW	Sweeney, Patrick W.	Sweeney	Patrick W.	SPW	NA
SR	Schnell, Raymond Albert Alfred	Schnell	Raymond Albert Alfred	SR	NA
SRA	Syde, Anthony Rémi	Syde	Rémi Anthony	SRA	NA
SRA	Syde, Rémi Anthony	Syde	Rémi Anthony	SRA	NA
SRF	Stier, Frances Rhoda	Stier	Frances Rhoda	SRF	NA
SRJ	Schmalzel, Robert J.	Schmalzel	Robert J.	SRJ	NA
SRN	Soria Rey, Nélida	Soria Rey	Nélida	SRN	NA
SRP	Sauleda, Ruben Primitivo	Sauleda	Ruben Primitivo	SRP	NA
SRR	Santos, R. Reis dos	Santos	R. Reis dos	SRR	NA
SS	Soah, Shabani	Soah	Shabani	SS	NA
SSC	Sant'Ana, Sérgio Cardoso de	Sant'Ana	Sérgio Cardoso de	SSC	NA
SSM	Sousa Sánchez, Mario	Sousa Sánchez	Mario	SSM	NA
SSR	Randrianasolo, Sennen Solofo	Randrianasolo	Sennen Solofo	SSR	NA
ST	RAKOTONANDRASANA	Rakotonandrasana	Stéphan	ST	NA
ST	RAKOTONANDRASANA, *	Rakotonandrasana	Stéphan	ST	NA
ST	Rakotonandrasana, Stephan	Rakotonandrasana	Stéphan	ST	NA
ST	Rakotonandrasana, Stéphan	Rakotonandrasana	Stéphan	ST	NA
STB	Totozafy Be, S.	Totozafy Be	S.	STB	NA
STEB	Stergios, Basil	Stergios	Basil	STEB	NA
STIE	Stijfhoorn, Eirik	Stijfhoorn	Eirik	STIE	NA
STJA	Steyermark, Julian Alfred	Steyermark	Julian Alfred	STJA	NA
SV	Verlynde, Simon	Verlynde	Simon	SV	NA
SVC	Souza, Vinicius Castro	Souza	Vinicius Castro	SVC	NA
SVJ	Schunke Vigo, José	Schunke Vigo	José	SVJ	NA
SW	Wohlhauser, Sébastien	Wohlhauser	Sébastien	SW	NA
SWA	Schipp, William Augustus	Schipp	William Augustus	SWA	NA
SWC	Shannon, William Cummings	Shannon	William Cummings	SWC	NA
SWD	Stevens, Warren Douglas	Stevens	Warren Douglas	SWD	NA
SWP	Schimper, Wilhelm Philipp	Schimper	Wilhelm Philipp	SWP	NA
SWR	Stimson, William R.	Stimson	William R.	SWR	NA
T	Deroin, Thierry	Deroin	Thierry	T	NA
TA	Trevaskis, Alexander	Trevaskis	Alexander	TA	NA
TAB	Randrianarivony, Tabita	Randrianarivony	Tabita	TAB	NA
TAJ	Tahinarivony, A. J.	Tahinarivony	Andonahary Jacquis	TAJ	NA
TAJ	Tahinarivony, Andonahary Jacquis	Tahinarivony	Andonahary Jacquis	TAJ	NA
TAK	Townesmith, Andrew Keith	Townesmith	Andrew Keith	TAK	NA
TAS	Ton, Alush Shilom	Ton	Alush Shilom	TAS	NA
TB	Trujillo Figueroa, Baltasar	Trujillo Figueroa	Baltasar	TB	NA
TCM	Taylor, Charlotte M.	Taylor	Charlotte M.	TCM	NA
TDD	Tahirinirainy, Dinasoa Donné	Tahirinirainy	Dinasoa Donné	TDD	NA
TDW	Thomas, Duncan W.	Thomas	Duncan W.	TDW	NA
TEL	Tyson, Edwin L.	Tyson	Edwin L.	TEL	NA
TELE	TELES, *	TELES	NA	TELE	NA
TEXN	Texier, Nicolas	Texier	Nicolas	TEXN	NA
TF	Tamayo, Francisco	Tamayo	Francisco	TF	NA
TG	Tessmann, Günther	Tessmann	Günther	TG	NA
TH	Haevermans, Thomas	Haevermans	Thomas	TH	NA
THOM	Thomas, *	Thomas	NA	THOM	NA
TINH	Tinguy, Hugues	Tinguy	Hugues	TINH	NA
TJ	Tosh, James	Tosh	James	TJ	NA
TJF	Tonduz, Jean François Adolphe (Adolfo)	Tonduz	Jean François Adolphe (Adolfo)	TJF	NA
TJL	Tapia Muñoz, José Luis	Tapia Muñoz	José Luis	TJL	NA
TJW	Terborgh, John Whittle	Terborgh	John Whittle	TJW	NA
TL	Toussaint, L.	Toussaint	L.	TL	NA
TLA	Thouars, Louis-Marie Aubert du Petit-	Thouars	Louis-Marie Aubert du Petit-	TLA	NA
TLO	Teixeira, Luíz O. Adão	Teixeira	Luíz O. Adão	TLO	NA
TM	Toledo G., Marisol	Toledo G.	Marisol	TM	NA
TMC	Tschá, M. C.	Tschá	M. C.	TMC	NA
TME	Timaná, Martín E.	Timaná	Martín E.	TME	NA
TMZ	Tahina, Nomenjanahary Zo	Tahina	Nomenjanahary Zo	TMZ	NA
TN	TANNER, *	TANNER	NA	TN	NA
TO	Téllez Valdés, Oswaldo	Téllez Valdés	Oswaldo	TO	NA
TOK	Ralainaorina, Toky Niaina	Ralainaorina	Toky Niaina	TOK	NA
TOLE	Toledo, *	Toledo	NA	TOLE	NA
TP	Tenorio L., Pedro	Tenorio L.	Pedro	TP	NA
TR	Torres Colín, Rafael	Torres Colín	Rafael	TR	NA
TR0L	Tróchez, Lizzette	Tróchez	Lizzette	TR0L	NA
TRAG	Transects, Guinée	Transects	Guinée	TRAG	NA
TRAM	Transect, MBG	Transect	MBG	TRAM	NA
TS	Stevart, Tariq	Stévart	Tariq	TS	NA
TS	Stévart, Tariq	Stévart	Tariq	TS	NA
TSM	Trigui, Sonia M.	Trigui	Sonia M.	TSM	NA
TSS	Tsarasoa, Sitrakiniaina Sandy	Tsarasoa	Sitrakiniaina Sandy	TSS	NA
TSUS	Tsugaru, Shunsuke	Tsugaru	Shunsuke	TSUS	NA
TVW	Torrez Flores, Vania Wendy	Torrez Flores	Vania Wendy	TVW	NA
TWW	Thomas, William Wayt	Thomas	William Wayt	TWW	NA
U	Guillén, Jaime	Guillén	Jaime	U	NA
UE	Ursch, Eugène	Ursch	Eugène	UE	NA
ULE	Urrego Giraldo, Ligia Estela	Urrego Giraldo	Ligia Estela	ULE	NA
UNKN	Collector Unknown, *	Unknown	Unknown	UNKN	NA
UNKN	Unknown	Unknown	Unknown	UNKN	NA
US	Swenson, Ulf	Swenson	Ulf	US	NA
V	VICTORIO, *	VICTORIO	NA	V	NA
VA	Vicentini, Alberto	Vicentini	Alberto	VA	NA
VAH	von Wedel, Alwyn Hasso (Harry)	von Wedel	Alwyn Hasso (Harry)	VAH	NA
VDB	Burgt, Xander van der	Burgt	Xander van der	VDB	NA
VE	Vargas N., Ernesto	Vargas N.	Ernesto	VE	NA
VEG	Varela Cordero, Eduard Gerardo	Varela Cordero	Eduard Gerardo	VEG	NA
VF	Ventura A., Francisco	Ventura A.	Francisco	VF	NA
VG	Vieira, G.	Vieira	G.	VG	NA
VHH	van der Werff, Hendrik (Henk) Hessel	van der Werff	Hendrik (Henk) Hessel	VHH	NA
VHR	Villegas Huanca, Richard	Villegas Huanca	Richard	VHR	NA
VI	Velázquez, Ileana	Velázquez	Ileana	VI	NA
VIG	Vargas Caballero, Israel G.	Vargas Caballero	Israel G.	VIG	NA
VIGR	Viguier, René	Viguier	René	VIGR	NA
VILA	Villamil, A.	Villamil	A.	VILA	NA
VJ	Vesco, J.	Vesco	J.	VJ	NA
VJF	Villiers, Jean François	Villiers	Jean François	VJF	NA
VJG	Vélez Arango, Juan Gonzalo	Vélez Arango	Juan Gonzalo	VJG	NA
VJH	Vargas López, José Homero	Vargas López	José Homero	VJH	NA
VK	Velasco Gutiérrez, Kenia	Velasco Gutiérrez	Kenia	VK	NA
VL	Valenzuela Gamarra, Luis	Valenzuela Gamarra	Luis	VL	NA
VLD	Vargas Salazar, Luis Diego	Vargas Salazar	Luis Diego	VLD	NA
VM	Vatanparast, Mohammad	Vatanparast	Mohammad	VM	NA
VMR	Villacorta M., Raul	Villacorta M.	Raul	VMR	NA
VN	VAZ, *	VAZ	NA	VN	NA
VOR	Vargas Ramírez, Orlando Ricardo de los Ángeles	Vargas Ramírez	Orlando Ricardo de los Ángeles	VOR	NA
VPC	Vincelli, Paul C.	Vincelli	Paul C.	VPC	NA
VR	Vásquez Martínez, Rodolfo	Vásquez Martínez	Rodolfo	VR	NA
VRL	Vargas Ramírez, Lourdes	Vargas Ramírez	Lourdes	VRL	NA
VRO	Vanni, Ricardo Oscar	Vanni	Ricardo Oscar	VRO	NA
VTR	van Andel, Tinde R.	van Andel	Tinde R.	VTR	NA
VVE	Ventura V., E.	Ventura V.	E.	VVE	NA
W	Hamilton, William	Hamilton	William	W	NA
WALB	Wallnöfer, Bruno	Wallnöfer	Bruno	WALB	NA
WB	Bojer, Wenceslas (Wenzel)	Bojer	Wenceslas (Wenzel)	WB	NA
WC	Whitefoord, Caroline	Whitefoord	Caroline	WC	NA
WCC	Wright, Charles (Carlos)	Wright	Charles (Carlos)	WCC	NA
WCL	Wilson, Charles L.	Wilson	Charles L.	WCL	NA
WEG	Waterlot, E. Georges	Waterlot	E. Georges	WEG	NA
WEN	Wen	Wen	NA	WEN	NA
WF	Woytkowski, Felix	Woytkowski	Felix	WF	NA
WGL	Webster, Grady Linder	Webster	Grady Linder	WGL	NA
WGM	Walters, Gretchen Marie	Walters	Gretchen Marie	WGM	NA
WILC	Wilks, Chris	Wilks	Chris	WILC	NA
WJ	Wagemans, J.	Wagemans	J.	WJ	NA
WJJ	Wieringa, Jan Johannes	Wieringa	Jan Johannes	WJJ	NA
WJR	Wiley, J. R.	Wiley	J. R.	WJR	NA
WLJ	White, Lee J. T.	White	Lee J. T.	WLJ	NA
WLO	Williams, Louis Otho (Otto)	Williams	Louis Otho (Otto)	WLO	NA
WR	Rauh, Werner	Rauh	Werner	WR	NA
WRA	Wasum, Ronaldo Adelfo	Wasum	Ronaldo Adelfo	WRA	NA
WRD	Worthington, Richard Dane	Worthington	Richard Dane	WRD	NA
WRG	Wieland, Ronald G.	Wieland	Ronald G.	WRG	NA
WRH	Woodworth, Robert Hugo	Woodworth	Robert Hugo	WRH	NA
WRJ	Wood, John Richard Ironside	Wood	John Richard Ironside	WRJ	NA
WRL	Wilbur, Robert Lynch	Wilbur	Robert Lynch	WRL	NA
WRO	Williams, Robert Orchard	Williams	Robert Orchard	WRO	NA
WRP	Wunderlin, Richard P.	Wunderlin	Richard P.	WRP	NA
WSK	Wu, Su Kung	Wu	Su Kung	WSK	NA
WTT	Wendt, Thomas (Tom) Leighton	Wendt	Thomas (Tom) Leighton	WTT	NA
WUJJ	Wurdack, John Julius	Wurdack	John Julius	WUJJ	NA
WW	Wilbert, Werner	Wilbert	Werner	WW	NA
WYM	Wang, Yang-Ming	Wang	Yang-Ming	WYM	NA
WYM	Wang, Ying-ming	Wang	Ying-ming	WYM	NA
YKR	Young, Kenneth R.	Young	Kenneth R.	YKR	NA
YM	Yánez, Manuel	Yánez	Manuel	YM	NA
YTG	Yuncker, Truman George	Yuncker	Truman George	YTG	NA
Z	Zent, Stanford	Zent	Stanford	Z	NA
ZAR	Zarucchi, James Lee	Zarucchi	James Lee	ZAR	NA
ZEM	Zardini, Elsa Matilde	Zardini	Elsa Matilde	ZEM	NA
ZFO	Zuloaga, Fernando Omar	Zuloaga	Fernando Omar	ZFO	NA
ZHZOO	Zoo, Zurich	Zoo	Zurich	ZHZOO	NA
ZJ	Zuleta, Jorge	Zuleta	Jorge	ZJ	NA
ZL	Zelaya, Lorena	Zelaya	Lorena	ZL	NA
ZML	Zjhra, Michelle	Zjhra	Michelle L.	ZML	NA
ZML	Zjhra, Michelle L.	Zjhra	Michelle L.	ZML	NA
ZN	ZICKEL, *	ZICKEL	NA	ZN	NA
ZNA	Zamora Villalobos, Nelson Antonio	Zamora Villalobos	Nelson Antonio	ZNA	NA
ZNB	Zimba, Noah B.	Zimba	Noah B.	ZNB	NA
ZR	Rogers, Zachary Scott	Rogers	Zachary Scott	ZR	NA
ZRA	Zúñiga Villegas, Rodolfo Antonio	Zúñiga Villegas	Rodolfo Antonio	ZRA	NA
ZS	Zamudio Ruíz, Sergio	Zamudio Ruíz	Sergio	ZS	NA
ZTA	Zanoni, Thomas A.	Zanoni	Thomas A.	ZTA	NA
ZV	Zak, Vlastimil	Zak	Vlastimil	ZV	NA
NA	Anonymous	Anonymous	NA	NA	NA
