ID_Lab	Genus	Species	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017
RFN0060	Diospyros	squamosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125	274	177	96	254	210	257	200	2068.48865246084	268.630474050549	80	36	769.537037135385	259.630474050549	752.537037135385	434.630474050549	6909.61474800592	6	Madagascar humid forests
RFN0061	Diospyros	microgracilipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125	274	177	96	254	210	257	200	2068.34436339954	269	80	36	769.159893914993	260.002423811659	752.159893914993	435.002423811659	6742.33221060235	6	Madagascar humid forests
RFN0062	Diospyros	squamosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125	274	177.074821937484	96	254	210	257	200	2067.94937783109	268.925178062516	80	36	769.040208032749	259.934480882795	752.049510853028	434.925178062516	6679.8010098668	6	Madagascar humid forests
RFN0063	Diospyros	squamosa	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125	274	177	96	254	210	257	200	2071.32107796373	269	80	36	770.203299718196	260.210276458116	753.203299718196	435.210276458116	7128.8248888104	6	Madagascar humid forests
RFN0064	Diospyros	decaryana	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125	274	177	96	254	210	257	200	2071.55928813881	269	80	36	770.300646203276	260.187252708027	753.300646203276	435.187252708027	7137.00630274958	6	Madagascar humid forests
RFN0065	Diospyros	velutipes	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	230	37	388	2125.04814864851	274	177.268689793915	96	254	210	257	200	2066.56684501174	268.600260948299	80	36	768.683161557572	259.600260948299	751.731310206085	434.552112299786	6495.20609887367	6	Madagascar humid forests
RFN0066	Diospyros	randrianasoloi	NA	NA	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	NA	NA	230.264477049606	37	388	2126	274.264477049606	178	96	254.264477049606	210.264477049606	257.264477049606	200.264477049606	2055.13057255653	266.735522950394	79.7355229503941	36	765.499768559838	257.764245609444	748.735522950394	431.764245609444	5451.99122420738	6	Madagascar humid forests
RFN0073	Diospyros	sp.	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	0	1	1	1	256	35	509	998	287	217	69	263	242	268	240	2303.45362304327	508	38	85	1399.88863288836	123	629.35271453311	124.745058729039	11827.0418793178	7	Madagascar dry deciduous forests
RFN0082	Dalbergia	glaucocarpa	Baronii	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	253.037589666177	35	508	991	284	215	69	260	239.037589666177	265	237	2476.44326412955	530.623842711623	43	82	1474.33309908588	139.561501664403	697.147754709849	143	17388.9544144893	7	Madagascar dry deciduous forests
RFN0083	Dalbergia	densicoma	Pervillei	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	253.695356046346	35	508	991.695356046346	284	215.012034563599	69	260.695356046346	239.695356046346	265	237.695356046346	2471.87978487941	530.309916442553	43	82	1471.94854596596	139.005272488899	696.309916442553	143	16762.8020630434	7	Madagascar dry deciduous forests
