Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
RZK	Razakamalala	Richard	Razakamalala, Richard	
SAF	Andrianarivelo	Sandratra Aina Fanantenana	Andrianarivelo, Sandratra Aina Fanantenana	
SAN	Sandratriniaina	Andrianasolo Ninah	Sandratriniaina, Andrianasolo Ninah	
SB	Buerki	Sven	Buerki, Sven	
SBF	Federman	Sarah Beck	Federman, Sarah Beck	
SC	Crameri	Simon Flavio	Crameri, Simon Flavio	
SF	Service Forestier de Madagascar	Service Forestier de Madagascar	Service Forestier de Madagascar	
SF	Service Forestier de Madagascar	Service Forestier de Madagascar	Service forestier [collection series]	
SF	Service Forestier de Madagascar	Service Forestier de Madagascar	SERVICE FORESTIER, *	
SFR	Andrianarivelo	Soafara	Andrianarivelo, Soafara Niaina	
SFR	Andrianarivelo	Soafara	Andrianarivelo, Soafara	
SG	Razafimandimbison	Sylvain Georges	Razafimandimbison, Sylvain Georges	
SH	Hassold	Sonja	Hassold, Sonja	HS
SJ	Solo	Justin	Solo, Justin	
SM	Malcomber	Simon	Malcomber, Simon	
SNGF	Silo National des Graines Forestières	Silo National des Graines Forestières	SNGF	
SRA	Syde 	Rémi Anthony	Syde, Anthony Rémi	
SRA	Syde 	Rémi Anthony	Syde, Rémi Anthony	
SSR	Randrianasolo	Sennen Solofo	Randrianasolo, Sennen Solofo	
ST	Rakotonandrasana	Stephan	Rakotonandrasana, Stephan	
SV	Verlynde	Simon 	Verlynde, Simon 	
SW	Wohlhauser	Sébastian	Wohlhauser, Sébastian	
SY	Eboroke	Sylvin	Eboroke, Sylvin	
TAB	Randrianarivony	Tabita	Randrianarivony, Tabita	
TAJ	Tahinarivony	Andonahary  Jacquis 	Tahinarivony, Andonahary  Jacquis 	
TDD	Tahirinirainy	Dinasoa Donné	Tahirinirainy, Dinasoa Donné	
TH	Haevermans	Thomas	Haevermans, Thomas	
TOK	Ralainaorina	Toky Niaina	Ralainaorina, Toky Niaina	
TS	Stevart	Tariq	Stevart, Tariq	
TSS	Tsarasoa	Sitrakiniaina Sandy	Tsarasoa, Sitrakiniaina Sandy	
WLA	Applequist	Wendy 	Applequist, Wendy 	
ZR	Rogers	Zachary Scott	Rogers, Zachary Scott	
