Code	SeniorCollector_nom	SeniorCollector_prenom	SeniorCollector	Code2
RR	Rakoto	Raphael	Rakoto, Raphael	NA
RRA	Rajoharison	Rivo	Rajoharison, Rivo	NA
RRE	Randriamarosoa	Rémi	Randriamarosoa, Rémi	NA
RRG	Ramison	Roger Georgensen	Ramison, Roger Georgensen	NA
RRH	Ramananjanahary	Rondro	Ramananjanahary, Rondro	NA
RRI	Rajemisa	Richard	Rajemisa, Richard	NA
RRN	Ramanantsialonina	Ravo Nantenaina	Ramanantsialonina, Ravo Nantenaina	NA
RS	Rapanarivo	Solo	Rapanarivo, Solo	NA
RSE	Rakotoarisoa	Solofo Eric	Rakotoarisoa, Eric Solofo	NA
RSE	Rakotoarisoa	Solofo Eric	Rakotoarisoa, Solofo Eric	NA
RTF	Raveloson	Tolojanahary Felantsoa	Raveloson, Tolojanahary Felantsoa	NA
RTH	Rakouth	Hasina Nomentsoa	Rakouth, Hasina Nomentsoa	NA
RTN	Randriamiharisoa	Tolojanahary Nirina Maria	Randriamiharisoa, Tolojanahary Nirina Maria	NA
RTN	Tolojanahary	Nirina	Tolojanahary, Nirina	NA
RTV	Rivoharison	Tahiry Victoria	Rivoharison, Tahiry Victoria	NA
RVF	Ravelonahina	Harimisa	Ravelonahina, Harimisa	NA
RVM	Rasolofoniaina	Vonimirana Mbolatiana	Rasolofoniaina, Vonimirana Mbolatiana	NA
RVN	Ravololomanana	Noromalala	Ravololomanana, Noromalala	NA
RVO	Andrianasolo	Rivoniony	Andrianasolo, Rivoniony	NA
RVT	Razafindrahaja	Vololotahina	Razafindrahaja, Vololotahina	NA
RZA	Razanatsima	Aina	Razanatsima, Aina	NA
RZC	Rakotonirina	Casmir	Rakotonirina, Casmir Zoly	NA
RZC	Rakotonirina	Casmir	Rakotonirina, Casmir	NA
RZD	Razafindramora	Dernah	Razafindramora, Dernah	NA
RZK	Razakamalala	Richardson	Razakamalala, Richardson	NA
RZK	Razakamalala	Richard	Razakamalala, Richard	NA
SAF	Andrianarivelo	Sandratra Aina Fanantenana	Andrianarivelo, Sandratra Aina Fanantenana	NA
SAN	Sandratriniaina	Andrianasolo Ninah	Sandratriniaina, Andrianasolo Ninah	NA
SB	Buerki	Sven	Buerki, Sven	NA
SBF	Federman	Sarah Beck	Federman, Sarah Beck	NA
SC	Crameri	Simon Flavio	Crameri, Simon Flavio	NA
SF	Service Forestier de Madagascar	Service Forestier de Madagascar	Service Forestier de Madagascar	NA
SF	Service Forestier de Madagascar	Service Forestier de Madagascar	Service forestier [collection series]	NA
SF	Service Forestier de Madagascar	Service Forestier de Madagascar	SERVICE FORESTIER, *	NA
SFR	Andrianarivelo	Soafara	Andrianarivelo, Soafara Niaina	NA
SFR	Andrianarivelo	Soafara	Andrianarivelo, Soafara	NA
SG	Razafimandimbison	Sylvain Georges	Razafimandimbison, Sylvain Georges	NA
SH	Hassold	Sonja	Hassold, Sonja	HS
SJ	Solo	Justin	Solo, Justin	NA
SM	Malcomber	Simon	Malcomber, Simon	NA
SNGF	Silo National des Graines Forestières	Silo National des Graines Forestières	SNGF	NA
SRA	Syde	Rémi Anthony	Syde, Anthony Rémi	NA
SRA	Syde	Rémi Anthony	Syde, Rémi Anthony	NA
SSR	Randrianasolo	Sennen Solofo	Randrianasolo, Sennen Solofo	NA
ST	Rakotonandrasana	Stephan	Rakotonandrasana, Stephan	NA
SV	Verlynde	Simon	Verlynde, Simon	NA
SW	Wohlhauser	Sébastian	Wohlhauser, Sébastian	NA
SY	Eboroke	Sylvin	Eboroke, Sylvin	NA
TAB	Randrianarivony	Tabita	Randrianarivony, Tabita	NA
TAJ	Tahinarivony	Andonahary  Jacquis	Tahinarivony, Andonahary  Jacquis	NA
TDD	Tahirinirainy	Dinasoa Donné	Tahirinirainy, Dinasoa Donné	NA
TH	Haevermans	Thomas	Haevermans, Thomas	NA
TOK	Ralainaorina	Toky Niaina	Ralainaorina, Toky Niaina	NA
TS	Stevart	Tariq	Stevart, Tariq	NA
TSS	Tsarasoa	Sitrakiniaina Sandy	Tsarasoa, Sitrakiniaina Sandy	NA
WLA	Applequist	Wendy	Applequist, Wendy	NA
ZR	Rogers	Zachary Scott	Rogers, Zachary Scott	NA
