SpecimenID	ID_Lab	Genus	Species	DM_SP	DGroup	data_UCE	data_wanatomy	data_NIRS_hw	data_NIRS_sw	data_NIRS_core_sw	data_NIRS_core_hw	data_NIRS_block_sw	data_NIRS_block_hw	data_massspec	silicagel_leaf	voucher_leaf	heartwood_souche_ETH	heartwood_tronc_ETH	heartwood_carotte_ETH	heartwood_ETH	Bloc_ESSA	Core_ESSA	Heartwood_ESSA	Sapwood_ESSA	Bio01_temp.annual	Bio02_temp.diurnal	Bio03_isothermality	Bio04_temp.seasonality	Bio05_temp.warmestM	Bio06_temp.coldestM	Bio07_temp.range	Bio08_temp.wettestQ	Bio09_temp.driestQ	Bio10_temp.warmestQ	Bio11_temp.coldestQ	Bio12_prec.annual	Bio13_prec.wettestM	Bio14_prec.driestM	Bio15_prec.seasonality	Bio16_prec.wettestQ	Bio17_prec.driestQ	Bio18_prec.warmestQ	Bio19_prec.coldestQ	elevation	geol	eco2017	imputed
101177498	ALR2444	Dalbergia	humbertii	NA	Humbertii	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	241	49	549	1252	283	193	90	252	227	253	221	1490	276	35	71	793	123	576	153	28178	7	Madagascar dry deciduous forests	FALSE
101177499	ALR2445	Dalbergia	purpurascens	NA	Greveana	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	241	49	549	1250	283	193	90	252	227	253	221	1505	279	35	71	801	123	582	154	28622	7	Madagascar dry deciduous forests	FALSE
101177500	ALR2446	Dalbergia	pseudobaronii	NA	Humbertii	NA	Ravo	0	1	1	0	NA	NA	D2	1	0	NA	NA	1	1	0	1	0	1	241	49	549	1250	283	193	90	252	227	253	221	1505	279	35	71	801	123	582	154	28622	7	Madagascar dry deciduous forests	FALSE
101178495	ALR2447	Dalbergia	pseudobaronii	NA	Humbertii	NA	NA	0	1	1	0	NA	NA	D2	1	0	NA	NA	1	1	0	1	0	1	248	49	548	1240	289	199	90	257	233	259	227	1189	252	23	82	706	79	454	97	19038	7	Madagascar dry deciduous forests	FALSE
101178496	ALR2448	Dalbergia	pseudobaronii	NA	Humbertii	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	0.5	1	0	1	0	1	246	49	549	1237	287	197	90	255	231	258	226	1193	254	23	83	712	78	455	97	20700	7	Madagascar dry deciduous forests	FALSE
101178497	ALR2449	Dalbergia	pseudobaronii	NA	Humbertii	NA	NA	0	0	NA	NA	NA	NA	D2	1	0	NA	NA	0	0	0	1	0	1	246	49	549	1235	287	197	90	255	231	257	225	1199	255	23	83	716	79	457	98	22455	7	Madagascar dry deciduous forests	FALSE
101178499	ALR2450	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	1	0	NA	NA	NA	0	NA	NA	NA	NA	250	49	544	1255	291	202	90	260	235	262	230	1140	240	23	81	674	78	426	97	13272	7	Madagascar dry deciduous forests	FALSE
101178502	ALR2451	Dalbergia	purpurascens	NA	Greveana	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	252	45	532	1268	290	206	84	263	237	264	232	1199	257	25	83	755	86	408	108	10911	6	Madagascar dry deciduous forests	FALSE
101178503	ALR2452	Dalbergia	suaresensis	NA	Humbertii	NA	NA	1	1	1	1	NA	NA	D2	1	0	NA	NA	1	1	0	1	1	1	252	45	532	1268	290	206	84	263	237	264	232	1199	257	25	83	755	86	408	108	10911	6	Madagascar dry deciduous forests	FALSE
101178505	ALR2453	Dalbergia	purpurascens	NA	Greveana	NA	NA	1	0	0	1	NA	NA	D2	0	0	NA	NA	0	0	0	1	1	1	252	45	532	1268	290	206	84	263	237	264	232	1199	257	25	83	755	86	408	108	10911	6	Madagascar dry deciduous forests	FALSE
